id,resource_name,"resource_type (Eg. student notes, YouTube)",subject (Eg. INST),course_code (Eg. 123),resource_link
1,Index of /~drew/phy260/spr05,website,PHYS,260,Index of /~drew/phy260/spr05
2,Integral Calculator • With Steps!,website,MATH,141,https://www.integral-calculator.com/
3,Computer Architecture: A Quantitative Approach,book,ENEE,446,ISBN: 9780128119051
4,Data structures and algorithms in Java,book,CMSC,132,ISBN: 9781118771334
5,Data structures and abstractions with Java,book,CMSC,132,ISBN: 9780133744057
6,Data structures : abstraction and design using Java,book,CMSC,132,ISBN: 9780470128701
7,The C Programming Language,book,CMSC,216,ISBN: 9780131103702
8,C programming : a modern approach,book,CMSC,216,ISBN: 9780393979503
9,Pointers on C,book,CMSC,216,ISBN: 9780673999863
10,The C programming language,book,CMSC,216,ISBN: 9781842653951
11,"C notes, a guide to the C programming language",book,CMSC,216,ISBN: 978-0917072130
12,Materials for Math 246: Fall 2021 Ordinary Differential Equations,website,MATH,246,https://courses.math.umd.edu/math246/NODE/2021F/main.html
13,MATH 246: Notes,website,MATH,246,https://www.math.umd.edu/~immortal/MATH246/
14,Student study guide,book,MATH,240,ISBN: 9780321982575
15,Basic Electric Circuit Theory,book,ENEE,205,ISBN: 9786613610997
16,Guide to Verilog,book,ENEE,245,ISBN: 9780131415560
17,"Compilers: Principles, Techinques, & Tools",Book,CMSC,430,ISBN: 9787111326748
18,Pass Math 141,website,MATH,141,https://math141.blogspot.com/
19,Computer Networks: A Systems Approach,Book,CMSC,417,ISBN: 9787111695424
20,Data Structures and Algorithm Analysis in C++,Book,CMSC,351,ISBN: 9780486485829
21,Data Structures and Algorithm Analysis in C,Book,CMSC,351,ISBN: 9787111640080
22,Introduction to computing systems,Book,CMSC,216,ISBN: 9787111666318
23,Computer-controlled Systems: Theory and Design,Book,CMSC,216,ISBN: 9780486486130
24,Modern Control Systems,Book,ENEE,460,ISBN: 9787121460074
25,"Operating Systems: Internals and Design Principles, Seventh Edition",Book,CMSC,412,ISBN: 9787121206764
26,Modern Operationg Systems,Book,CMSC,412,ISBN: 9787111581659
27,Computer Science Illuminated,Book,CMSC,100,ISBN: 9787111666745
28,Computer Science for Cambridge IGCSE and O Level: Computer Science Programming Book for Python,Book,CMSC,131,ISBN: 9781108951562
29,"Operating Systems: Internals and Design Principles, Nineth Edition",Book,CMSC,412,ISBN: 9787121390005
